품목_id,협력사_id,품목명,종류,규격,단위,입고단가,입고단위,입고단위단가,출고단위,활성화
IT_101,CO_101,종이컵(-12oz),소모품,1box=1000ea,ea,37,1000,37000,1000,1
IT_102,CO_101,종이컵-16oz,소모품,1box=1000ea,ea,43,1000,43000,1000,1
IT_103,CO_101,"종이컵뚜껑 (12,16oz)",소모품,1box=1000ea,ea,20,1000,20000,1000,1
IT_104,CO_101,아이스(페트)컵(14oz),소모품,1box=1000ea,ea,42,1000,42000,1000,1
IT_105,CO_101,아이스컵(16oz),소모품,1box=1000ea,ea,53,1000,53000,1000,1
IT_106,CO_101,아이스컵(24oz),소모품,1box=1000ea,ea,65,1000,65000,1000,1
IT_107,CO_101,아이스컵 돔뚜껑(93Ø),소모품,1box=1000ea,ea,18.5,1000,18500,1000,1
IT_108,CO_101,아이스컵 돔뚜껑(98Ø),소모품,1box=1000ea,ea,20,1000,20000,1000,1
IT_109,CO_101,아이스컵 평뚜껑(98Ø),소모품,1box=1000ea,ea,19,1000,19000,1000,1
IT_110,CO_101,10/13홀더,소모품,1box=1000ea,ea,17.5,1000,17500,1000,1
IT_111,CO_101,12/16홀더,소모품,1box=1000ea,ea,18,1000,18000,1000,1
IT_112,CO_101,21cm 일자 스트로우 (투명),소모품,1box=10000ea,ea,6.9,10000,69000,500,1
IT_113,CO_101,21cm 버블티 스트로우,소모품,1box=3200ea,ea,22.1875,3200,71000,250,1
IT_114,CO_101,25cm 일자 스트로우 (블랙),소모품,1box=10000ea,ea,7.2,10000,72000,500,1
IT_115,CO_101,21cm 종이 스트로우,소모품,1box=5000ea,ea,18,5000,90000,250,1
IT_116,CO_101,21cm 종이 버블 스트로우,소모품,1box=4000ea,ea,26.7,4000,106800,250,1
IT_117,CO_101,25cm 버블티 스트로우,소모품,1box=3200ea,ea,22.8125,3200,73000,250,1
IT_118,CO_101,캐리어 무지(크라프트지),소모품,1box=200ea,ea,112.5,200,22500,200,1
IT_119,CO_101,갈색무지냅킨,소모품,1box=8000ea,ea,3.625,8000,29000,8000,1
IT_120,CO_101,커피머신세정제,소모품,1ea,kg,12000,1,12000,1,1
IT_121,CO_101,15cm 개별포장커피스틱,소모품,1box=10000ea,ea,6.4,10000,64000,1000,1
IT_122,CO_101,18cm 개별포장커피스틱,소모품,1box=10000ea,ea,6.8,10000,68000,1000,1
IT_123,CO_101,opp 비닐봉투 18*25,소모품,1pack=200ea,ea,25,200,5000,200,1
IT_124,CO_101,콤부차오리지날,액체류,1box=12ea,ea,2100,12,25200,1,1
IT_125,CO_101,콤부차진저레몬,액체류,1box=12ea,ea,2100,12,25200,1,1
IT_126,CO_101,콤부차석류,액체류,1box=12ea,ea,2100,12,25200,1,1
IT_127,CO_101,슈가시럽,액체류,1box=6ea,ea,2800,6,16800,1,1
IT_128,CO_101,슈가시럽(24년인상),액체류,1box=6ea,ea,3200,6,19200,1,1
IT_129,CO_101,삼다수,액체류,1box=20ea,ea,410,20,8200,1,1
IT_130,CO_101,립톤 복숭아파우더(907g),고체류,1box=12ea,ea,7200,12,86400,1,1
IT_131,CO_101,립톤 복숭아파우더(907g)(24년인상),고체류,1box=12ea,ea,7700,12,92400,1,1
IT_132,CO_101,초정탄산수(1.5L),액체류,1box=12ea,ea,1350,12,16200,1,1
IT_133,CO_101,메티에 바닐라시럽(700ml),액체류,1box=8ea,ea,6870,8,54960,1,1
IT_134,CO_101,메티에 헤이즐럿시럽(700ml),액체류,1box=8ea,ea,6870,8,54960,1,1
IT_135,CO_101,메티에 바닐라시럽(750ml),액체류,1box=8ea,ea,7360,8,58880,1,1
IT_136,CO_101,메티에 헤이즐럿시럽(750ml),액체류,1box=8ea,ea,7360,8,58880,1,1
IT_137,CO_102,적립쿠폰,소모품,1bundle=500ea,ea,6.4,500,3200,100,1
IT_138,CO_102,유통기한 스티커,소모품,1bundle=1000ea,ea,4.7,1000,4690,100,1
IT_139,CO_103,민트초코파우더,고체류,1box = 12ea,ea,7700,12,92400,1,1
IT_140,CO_103,다크초코파우더,고체류,1box = 12ea,ea,6200,12,74400,1,1
IT_141,CO_103,청귤베이스,액체류,1box = 12ea,ea,6700,12,80400,1,1
IT_142,CO_103,요거에스플레인,액체류,1box=12ea,ea,7250,12,87000,1,1
IT_143,CO_103,흑당베이스,액체류,1kg x 12ea,ea,5300,12,63600,1,1
IT_144,CO_103,쿠키앤크림 파우더,고체류,1kg x 12ea,ea,6600,12,79200,1,1
IT_145,CO_103,자몽 베이스,액체류,1.8kg x 6ea,ea,14500,6,87000,1,1
IT_146,CO_103,수박 베이스,액체류,1.8kg x 6ea,ea,11000,6,66000,1,1
IT_147,CO_103,자두 스무디,액체류,1.8kg x 6ea,ea,7000,6,42000,1,1
IT_148,CO_103,크림소다 베이스,액체류,1.8kg x 6ea,ea,9000,6,54000,1,1
IT_149,CO_103,제주하늘 말차 파우더 (24년 추가),고체류,500g * 12ea,ea,5300,12,63600,1,1
IT_150,CO_103,공주밤 베이스 파우더 (24년 추가),고체류,1kg x 12ea,ea,7900,12,94800,1,1
IT_151,CO_103,피스타치오 파우더 (24년 추가),고체류,1kg x 12ea,ea,8400,12,100800,1,1
IT_152,CO_103,17곡 파우더,고체류,1kg x 12ea,ea,4500,12,54000,1,1
IT_153,CO_103,토피넛파우더,고체류,1box=12ea,ea,6700,12,80400,1,1
IT_154,CO_104,딸기스무디 원액,액체류,1.8kg x 6ea,ea,6900,6,41400,1,1
IT_155,CO_104,망고스무디 원액,액체류,1.8kg x 6ea,ea,6900,6,41400,1,1
IT_156,CO_104,베리믹스스무디 원액,액체류,1.8kg x 6ea,ea,6800,6,40800,1,1
IT_157,CO_104,베버시티 레몬에이드,액체류,1kg x 4ea,ea,15000,4,60000,1,1
IT_158,CO_104,녹차라떼,고체류,500g x 6ea,ea,5300,6,31800,1,1
IT_159,CO_104,홍차라떼,고체류,500g x 6ea,ea,6600,6,39600,1,1
IT_160,CO_104,고구마페이스트,액체류,1kg x 10ea,ea,5600,10,56000,1,1
IT_161,CO_104,군고구마 베이스 (24년 추가),액체류,1kg x 6ea,ea,7000,6,42000,1,1
IT_162,CO_104,토라니 초코소스,액체류,1.89L x 4ea,ea,14100,4,56400,1,1
IT_163,CO_104,토라니 카라멜소스,액체류,1.89L x 4ea,ea,15100,4,60400,1,1
IT_164,CO_104,베버시티 청포도에이드,액체류,1kg x 4ea,ea,15300,4,61200,1,1
IT_165,CO_105,신규 원두,고체류,1box=10kg,ea,11000,10,110000,1,1
